Year,Country,Region,Sex,Age Group,Applications
2019,Iraq,Middle East,Female,17 and under,12
2019,Iraq,Middle East,Female,18 to 24,1
2019,Iraq,Middle East,Female,25 to 39,7
2019,Iraq,Middle East,Female,40 and over,2
2019,Iraq,Middle East,Male,17 and under,13
2019,Iraq,Middle East,Male,25 to 39,1
2019,Iraq,Middle East,Female,18 to 24,1
2019,Iraq,Middle East,Female,25 to 39,4
2019,Iraq,Middle East,Female,40 and over,3
2019,Iraq,Middle East,Male,18 to 24,15
2019,Iraq,Middle East,Male,25 to 39,24
2019,Iraq,Middle East,Male,40 and over,6
2019,Iraq,Middle East,Male,17 and under,5
2019,Refugee,Other,Male,25 to 39,1
2019,Syria,Middle East,Male,18 to 24,1
2019,Syria,Middle East,Male,25 to 39,4
2019,Syria,Middle East,Male,17 and under,2
2019,Uzbekistan,Asia Central,Male,25 to 39,1
2019,Iran,Middle East,Male,25 to 39,1
2019,Iraq,Middle East,Female,17 and under,1
2019,Iraq,Middle East,Male,25 to 39,1
2019,Iraq,Middle East,Male,40 and over,1
2020,Afghanistan,Asia Central,Male,18 to 24,4
2020,Afghanistan,Asia Central,Male,25 to 39,5
2020,Afghanistan,Asia Central,Male,17 and under,3
2020,Egypt,Africa North,Male,25 to 39,1
2020,Guinea,Africa Sub-Saharan,Male,25 to 39,1
2020,Iran,Middle East,Female,17 and under,2
2020,Iran,Middle East,Female,25 to 39,3
2020,Iran,Middle East,Female,40 and over,1
2020,Iran,Middle East,Male,17 and under,7
2020,Iran,Middle East,Male,25 to 39,1
2020,Iran,Middle East,Female,25 to 39,11
2020,Iran,Middle East,Female,40 and over,1
2020,Iran,Middle East,Male,18 to 24,54
2020,Iran,Middle East,Male,25 to 39,138
2020,Iran,Middle East,Male,40 and over,31
2020,Iran,Middle East,Male,17 and under,18
2020,Iraq,Middle East,Female,17 and under,5
2020,Iraq,Middle East,Female,18 to 24,1
2020,Iraq,Middle East,Female,25 to 39,4
2020,Iraq,Middle East,Female,40 and over,1
2020,Iraq,Middle East,Male,17 and under,11
2020,Iraq,Middle East,Male,25 to 39,1
2020,Iraq,Middle East,Male,40 and over,1
2020,Iraq,Middle East,Female,18 to 24,3
2020,Iraq,Middle East,Female,25 to 39,4
2020,Iraq,Middle East,Female,40 and over,2
2020,Iraq,Middle East,Male,18 to 24,33
2020,Iraq,Middle East,Male,25 to 39,32
2020,Iraq,Middle East,Male,40 and over,5
2020,Iraq,Middle East,Male,17 and under,15
2020,Ivory Coast,Africa Sub-Saharan,Male,17 and under,1
2020,Mali,Africa Sub-Saharan,Male,25 to 39,2
2020,Pakistan,Asia South,Male,18 to 24,2
2020,Pakistan,Asia South,Male,25 to 39,3
2020,Senegal,Africa Sub-Saharan,Male,25 to 39,1
2020,Syria,Middle East,Male,18 to 24,23
2020,Syria,Middle East,Male,25 to 39,21
2020,Syria,Middle East,Male,17 and under,2
2020,Yemen,Middle East,Male,18 to 24,3
2020,Yemen,Middle East,Male,25 to 39,3
2020,Afghanistan,Asia Central,Male,25 to 39,1
2020,Iran,Middle East,Male,25 to 39,3
2020,Iraq,Middle East,Male,25 to 39,1
2020,Afghanistan,Asia Central,Female,25 to 39,1
2020,Afghanistan,Asia Central,Male,18 to 24,21
2020,Afghanistan,Asia Central,Male,25 to 39,26
2020,Afghanistan,Asia Central,Male,40 and over,1
2020,Afghanistan,Asia Central,Male,17 and under,27
2020,Afghanistan,Asia Central,Male,18 to 24,2
2020,Albania,Europe Other,Male,18 to 24,1
2020,Albania,Europe Other,Male,40 and over,1
2020,Albania,Europe Other,Male,17 and under,1
2020,Algeria,Africa North,Female,17 and under,3
2020,Algeria,Africa North,Male,17 and under,2
2020,Algeria,Africa North,Male,25 to 39,1
2020,Algeria,Africa North,Female,25 to 39,1
2020,Chad,Africa Sub-Saharan,Male,18 to 24,1
2020,Chad,Africa Sub-Saharan,Male,25 to 39,1
2020,Chad,Africa Sub-Saharan,Male,17 and under,3
2020,China,Asia East,Male,25 to 39,1
2020,Egypt,Africa North,Male,18 to 24,2
2020,Egypt,Africa North,Male,25 to 39,1
2020,Eritrea,Africa Sub-Saharan,Female,18 to 24,3
2020,Eritrea,Africa Sub-Saharan,Female,25 to 39,7
2020,Eritrea,Africa Sub-Saharan,Male,18 to 24,2
2020,Eritrea,Africa Sub-Saharan,Male,25 to 39,12
2020,Eritrea,Africa Sub-Saharan,Male,40 and over,1
2020,Eritrea,Africa Sub-Saharan,Male,17 and under,6
2020,Ethiopia,Africa Sub-Saharan,Female,18 to 24,2
2020,Ethiopia,Africa Sub-Saharan,Male,18 to 24,1
2020,Ethiopia,Africa Sub-Saharan,Male,25 to 39,3
2020,Ethiopia,Africa Sub-Saharan,Male,40 and over,1
2020,Ethiopia,Africa Sub-Saharan,Male,17 and under,6
2020,Gambia,Africa Sub-Saharan,Male,18 to 24,1
2020,Georgia,Europe Other,Female,17 and under,1
2020,Georgia,Europe Other,Female,40 and over,1
2020,Ghana,Africa Sub-Saharan,Male,25 to 39,1
2020,Guinea,Africa Sub-Saharan,Male,18 to 24,2
2020,Guinea,Africa Sub-Saharan,Male,25 to 39,2
2020,India,Asia South,Male,18 to 24,2
2020,India,Asia South,Male,25 to 39,3
2020,India,Asia South,Male,40 and over,1
2020,Iran,Middle East,Female,17 and under,22
2020,Iran,Middle East,Female,18 to 24,2
2020,Iran,Middle East,Female,25 to 39,13
2020,Iran,Middle East,Female,40 and over,2
2020,Iran,Middle East,Male,17 and under,14
2020,Iran,Middle East,Male,25 to 39,6
2020,Iran,Middle East,Female,18 to 24,4
2020,Iran,Middle East,Female,25 to 39,27
2020,Iran,Middle East,Female,40 and over,12
2020,Iran,Middle East,Male,17 and under,2
2020,Iran,Middle East,Male,18 to 24,107
2020,Iran,Middle East,Male,25 to 39,335
2020,Iran,Middle East,Male,40 and over,62
2020,Iran,Middle East,Male,17 and under,38
2020,Iran,Middle East,Male,18 to 24,1
2020,Iraq,Middle East,Female,17 and under,47
2020,Iraq,Middle East,Female,18 to 24,2
2020,Iraq,Middle East,Female,25 to 39,23
2020,Iraq,Middle East,Female,40 and over,6
2020,Iraq,Middle East,Male,17 and under,77
2020,Iraq,Middle East,Male,18 to 24,2
2020,Iraq,Middle East,Male,25 to 39,14
2020,Iraq,Middle East,Male,40 and over,4
2020,Iraq,Middle East,Female,18 to 24,9
2020,Iraq,Middle East,Female,25 to 39,28
2020,Iraq,Middle East,Female,40 and over,7
2020,Iraq,Middle East,Male,17 and under,2
2020,Iraq,Middle East,Male,18 to 24,116
2020,Iraq,Middle East,Male,25 to 39,179
2020,Iraq,Middle East,Male,40 and over,29
2020,Iraq,Middle East,Male,17 and under,29
2020,Iraq,Middle East,Male,18 to 24,3
2020,Iraq,Middle East,Male,25 to 39,1
2020,Ivory Coast,Africa Sub-Saharan,Male,18 to 24,1
2020,Ivory Coast,Africa Sub-Saharan,Male,25 to 39,3
2020,Ivory Coast,Africa Sub-Saharan,Male,17 and under,1
2020,Kuwait,Middle East,Female,25 to 39,1
2020,Kuwait,Middle East,Female,40 and over,1
2020,Kuwait,Middle East,Male,25 to 39,2
2020,Kuwait,Middle East,Male,40 and over,3
2020,Liberia,Africa Sub-Saharan,Male,17 and under,1
2020,Libya,Africa North,Male,18 to 24,3
2020,Libya,Africa North,Male,25 to 39,7
2020,Mali,Africa Sub-Saharan,Male,18 to 24,4
2020,Mali,Africa Sub-Saharan,Male,25 to 39,1
2020,Mali,Africa Sub-Saharan,Male,17 and under,2
2020,Morocco,Africa North,Male,25 to 39,1
2020,Niger,Africa Sub-Saharan,Male,25 to 39,1
2020,Occupied Palestinian Territories,Middle East,Male,18 to 24,2
2020,Occupied Palestinian Territories,Middle East,Male,25 to 39,5
2020,Other and unknown,Other,Male,40 and over,2
2020,Pakistan,Asia South,Male,17 and under,1
2020,Pakistan,Asia South,Male,18 to 24,4
2020,Pakistan,Asia South,Male,25 to 39,15
2020,Pakistan,Asia South,Male,40 and over,1
2020,Refugee,Other,Female,17 and under,7
2020,Refugee,Other,Female,25 to 39,1
2020,Refugee,Other,Female,40 and over,2
2020,Refugee,Other,Male,17 and under,5
2020,Refugee,Other,Female,18 to 24,1
2020,Refugee,Other,Female,25 to 39,1
2020,Refugee,Other,Female,40 and over,1
2020,Refugee,Other,Male,18 to 24,15
2020,Refugee,Other,Male,25 to 39,46
2020,Refugee,Other,Male,40 and over,21
2020,Refugee,Other,Male,17 and under,5
2020,Senegal,Africa Sub-Saharan,Male,18 to 24,2
2020,Somalia,Africa Sub-Saharan,Male,18 to 24,1
2020,Somalia,Africa Sub-Saharan,Male,25 to 39,1
2020,South Sudan,Africa Sub-Saharan,Male,17 and under,1
2020,South Sudan,Africa Sub-Saharan,Male,18 to 24,2
2020,South Sudan,Africa Sub-Saharan,Male,25 to 39,1
2020,Stateless,Other,Female,17 and under,2
2020,Stateless,Other,Male,17 and under,2
2020,Stateless,Other,Male,18 to 24,6
2020,Stateless,Other,Male,25 to 39,21
2020,Stateless,Other,Male,40 and over,6
2020,Stateless,Other,Female,17 and under,1
2020,Stateless,Other,Male,17 and under,4
2020,Sudan,Africa North,Male,18 to 24,24
2020,Sudan,Africa North,Male,25 to 39,44
2020,Sudan,Africa North,Male,40 and over,7
2020,Sudan,Africa North,Male,17 and under,9
2020,Sudan,Africa North,Male,18 to 24,3
2020,Syria,Middle East,Female,18 to 24,1
2020,Syria,Middle East,Female,25 to 39,1
2020,Syria,Middle East,Female,40 and over,2
2020,Syria,Middle East,Male,18 to 24,89
2020,Syria,Middle East,Male,25 to 39,103
2020,Syria,Middle East,Male,40 and over,13
2020,Syria,Middle East,Male,17 and under,15
2020,Turkey,Europe Other,Male,18 to 24,1
2020,Yemen,Middle East,Male,18 to 24,25
2020,Yemen,Middle East,Male,25 to 39,63
2020,Yemen,Middle East,Male,40 and over,9
2020,Yemen,Middle East,Male,17 and under,3
2020,Afghanistan,Asia Central,Male,25 to 39,2
2020,Iran,Middle East,Male,17 and under,2
2020,Iran,Middle East,Male,18 to 24,1
2020,Iraq,Middle East,Female,25 to 39,1
2020,Iraq,Middle East,Male,17 and under,1
2020,Iraq,Middle East,Male,18 to 24,1
2020,Iraq,Middle East,Male,25 to 39,7
2020,Iraq,Middle East,Male,40 and over,1
2020,Pakistan,Asia South,Male,25 to 39,1
2020,Refugee,Other,Female,17 and under,1
2020,Syria,Middle East,Male,25 to 39,1
2020,Afghanistan,Asia Central,Female,17 and under,12
2020,Afghanistan,Asia Central,Female,18 to 24,1
2020,Afghanistan,Asia Central,Female,25 to 39,7
2020,Afghanistan,Asia Central,Female,40 and over,1
2020,Afghanistan,Asia Central,Male,17 and under,15
2020,Afghanistan,Asia Central,Male,25 to 39,2
2020,Afghanistan,Asia Central,Female,18 to 24,3
2020,Afghanistan,Asia Central,Female,25 to 39,6
2020,Afghanistan,Asia Central,Female,40 and over,2
2020,Afghanistan,Asia Central,Male,17 and under,1
2020,Afghanistan,Asia Central,Male,18 to 24,63
2020,Afghanistan,Asia Central,Male,25 to 39,87
2020,Afghanistan,Asia Central,Male,40 and over,5
2020,Afghanistan,Asia Central,Male,17 and under,58
2020,Afghanistan,Asia Central,Male,18 to 24,1
2020,Albania,Europe Other,Male,17 and under,2
2020,Albania,Europe Other,Female,25 to 39,1
2020,Albania,Europe Other,Male,18 to 24,11
2020,Albania,Europe Other,Male,25 to 39,6
2020,Albania,Europe Other,Male,40 and over,5
2020,Albania,Europe Other,Male,17 and under,1
2020,Algeria,Africa North,Male,18 to 24,2
2020,Algeria,Africa North,Male,25 to 39,1
2020,Benin,Africa Sub-Saharan,Male,18 to 24,1
2020,Burkina,Africa Sub-Saharan,Male,25 to 39,1
2020,Central African Republic,Africa Sub-Saharan,Male,25 to 39,1
2020,Chad,Africa Sub-Saharan,Male,17 and under,2
2020,Chad,Africa Sub-Saharan,Male,18 to 24,11
2020,Chad,Africa Sub-Saharan,Male,25 to 39,16
2020,Chad,Africa Sub-Saharan,Male,17 and under,22
2020,Egypt,Africa North,Male,18 to 24,4
2020,Egypt,Africa North,Male,25 to 39,25
2020,Egypt,Africa North,Male,40 and over,7
2020,Egypt,Africa North,Male,17 and under,1
2020,Eritrea,Africa Sub-Saharan,Female,17 and under,8
2020,Eritrea,Africa Sub-Saharan,Female,18 to 24,3
2020,Eritrea,Africa Sub-Saharan,Female,25 to 39,2
2020,Eritrea,Africa Sub-Saharan,Male,17 and under,12
2020,Eritrea,Africa Sub-Saharan,Female,18 to 24,33
2020,Eritrea,Africa Sub-Saharan,Female,25 to 39,54
2020,Eritrea,Africa Sub-Saharan,Female,40 and over,6
2020,Eritrea,Africa Sub-Saharan,Male,18 to 24,47
2020,Eritrea,Africa Sub-Saharan,Male,25 to 39,164
2020,Eritrea,Africa Sub-Saharan,Male,40 and over,13
2020,Eritrea,Africa Sub-Saharan,Female,17 and under,16
2020,Eritrea,Africa Sub-Saharan,Male,17 and under,22
2020,Ethiopia,Africa Sub-Saharan,Female,17 and under,6
2020,Ethiopia,Africa Sub-Saharan,Female,18 to 24,1
2020,Ethiopia,Africa Sub-Saharan,Female,25 to 39,1
2020,Ethiopia,Africa Sub-Saharan,Male,17 and under,7
2020,Ethiopia,Africa Sub-Saharan,Female,18 to 24,7
2020,Ethiopia,Africa Sub-Saharan,Female,25 to 39,9
2020,Ethiopia,Africa Sub-Saharan,Female,40 and over,1
2020,Ethiopia,Africa Sub-Saharan,Male,18 to 24,17
2020,Ethiopia,Africa Sub-Saharan,Male,25 to 39,26
2020,Ethiopia,Africa Sub-Saharan,Male,40 and over,2
2020,Ethiopia,Africa Sub-Saharan,Female,17 and under,1
2020,Ethiopia,Africa Sub-Saharan,Male,17 and under,10
2020,Ethiopia,Africa Sub-Saharan,Male,18 to 24,1
2020,Gambia,Africa Sub-Saharan,Male,18 to 24,2
2020,Gambia,Africa Sub-Saharan,Male,25 to 39,3
2020,Gambia,Africa Sub-Saharan,Male,17 and under,4
2020,Gambia,Africa Sub-Saharan,Male,18 to 24,1
2020,Ghana,Africa Sub-Saharan,Male,18 to 24,1
2020,Guinea,Africa Sub-Saharan,Male,18 to 24,5
2020,Guinea,Africa Sub-Saharan,Male,25 to 39,2
2020,Guinea,Africa Sub-Saharan,Male,17 and under,3
2020,Guinea Bissau,Africa Sub-Saharan,Male,18 to 24,1
2020,Guinea Bissau,Africa Sub-Saharan,Male,17 and under,2
2020,India,Asia South,Male,18 to 24,2
2020,India,Asia South,Male,25 to 39,33
2020,India,Asia South,Male,40 and over,16
2020,Iran,Middle East,Female,17 and under,24
2020,Iran,Middle East,Female,18 to 24,2
2020,Iran,Middle East,Female,25 to 39,15
2020,Iran,Middle East,Female,40 and over,7
2020,Iran,Middle East,Male,17 and under,25
2020,Iran,Middle East,Male,25 to 39,12
2020,Iran,Middle East,Male,40 and over,1
2020,Iran,Middle East,Female,18 to 24,9
2020,Iran,Middle East,Female,25 to 39,43
2020,Iran,Middle East,Female,40 and over,21
2020,Iran,Middle East,Male,17 and under,1
2020,Iran,Middle East,Male,18 to 24,105
2020,Iran,Middle East,Male,25 to 39,545
2020,Iran,Middle East,Male,40 and over,108
2020,Iran,Middle East,Female,17 and under,2
2020,Iran,Middle East,Male,17 and under,15
2020,Iran,Middle East,Male,18 to 24,1
2020,Iraq,Middle East,Female,17 and under,101
2020,Iraq,Middle East,Female,18 to 24,6
2020,Iraq,Middle East,Female,25 to 39,42
2020,Iraq,Middle East,Female,40 and over,19
2020,Iraq,Middle East,Male,17 and under,112
2020,Iraq,Middle East,Male,18 to 24,2
2020,Iraq,Middle East,Male,25 to 39,9
2020,Iraq,Middle East,Male,40 and over,3
2020,Iraq,Middle East,Female,18 to 24,17
2020,Iraq,Middle East,Female,25 to 39,24
2020,Iraq,Middle East,Female,40 and over,13
2020,Iraq,Middle East,Male,18 to 24,99
2020,Iraq,Middle East,Male,25 to 39,250
2020,Iraq,Middle East,Male,40 and over,51
2020,Iraq,Middle East,Male,17 and under,14
2020,Iraq,Middle East,Male,18 to 24,1
2020,Ivory Coast,Africa Sub-Saharan,Male,17 and under,1
2020,Ivory Coast,Africa Sub-Saharan,Male,18 to 24,1
2020,Ivory Coast,Africa Sub-Saharan,Male,25 to 39,1
2020,Jamaica,America Central and South,Male,25 to 39,1
2020,Kuwait,Middle East,Female,17 and under,4
2020,Kuwait,Middle East,Male,17 and under,4
2020,Kuwait,Middle East,Male,40 and over,1
2020,Kuwait,Middle East,Female,40 and over,3
2020,Kuwait,Middle East,Male,18 to 24,8
2020,Kuwait,Middle East,Male,25 to 39,14
2020,Kuwait,Middle East,Male,40 and over,4
2020,Lebanon,Middle East,Male,40 and over,1
2020,Libya,Africa North,Male,18 to 24,4
2020,Libya,Africa North,Male,25 to 39,4
2020,Libya,Africa North,Male,40 and over,1
2020,Libya,Africa North,Male,17 and under,2
2020,Mali,Africa Sub-Saharan,Male,18 to 24,5
2020,Mali,Africa Sub-Saharan,Male,25 to 39,3
2020,Mali,Africa Sub-Saharan,Male,40 and over,1
2020,Mali,Africa Sub-Saharan,Male,17 and under,4
2020,Mauritania,Africa North,Male,18 to 24,1
2020,Mauritania,Africa North,Male,25 to 39,1
2020,Mauritania,Africa North,Male,40 and over,1
2020,Morocco,Africa North,Female,25 to 39,1
2020,Morocco,Africa North,Male,25 to 39,4
2020,Myanmar (Burma),Asia South East,Male,25 to 39,1
2020,Niger,Africa Sub-Saharan,Male,25 to 39,1
2020,Niger,Africa Sub-Saharan,Male,40 and over,1
2020,Niger,Africa Sub-Saharan,Male,17 and under,1
2020,Nigeria,Africa Sub-Saharan,Male,18 to 24,2
2020,Nigeria,Africa Sub-Saharan,Male,25 to 39,5
2020,Occupied Palestinian Territories,Middle East,Female,25 to 39,1
2020,Occupied Palestinian Territories,Middle East,Male,17 and under,2
2020,Occupied Palestinian Territories,Middle East,Female,25 to 39,1
2020,Occupied Palestinian Territories,Middle East,Male,18 to 24,10
2020,Occupied Palestinian Territories,Middle East,Male,25 to 39,24
2020,Occupied Palestinian Territories,Middle East,Male,17 and under,1
2020,Occupied Palestinian Territories,Middle East,Male,18 to 24,1
2020,Other and unknown,Other,Male,25 to 39,2
